GPUPower,CPUPower,SOCPower,CVPower,VDDRQPower,SYS5VPower
1084,619,2632,0,465,3680
1084,774,2632,0,465,3720
1083,774,2632,0,465,3720
1083,774,2632,0,465,3720
1083,774,2632,0,465,3720
1083,774,2632,0,465,3720
1083,774,2632,0,465,3714
1238,774,2632,0,465,3714
1238,929,2632,0,465,3714
1238,929,2632,0,465,3714
1238,929,2632,0,465,3714
1238,929,2632,0,465,3714
1238,929,2632,0,465,3714
1238,929,2632,0,465,3714
1238,929,2632,0,465,3714
1238,929,2632,0,465,3714
1238,929,2632,0,465,3714
1238,929,2632,0,465,3714
1238,929,2632,0,465,3714
1238,929,2632,0,465,3714
1238,929,2632,0,465,3714
1238,929,2632,0,465,3714
1238,929,2632,0,465,3714
1238,929,2632,0,465,3714
1238,929,2632,0,464,3714
1238,929,2632,0,464,3714
1238,928,2632,0,464,3714
1238,928,2632,0,464,3714
1238,928,2632,0,464,3714
1238,928,2632,0,464,3714
1238,928,2632,0,464,3714
1238,1083,2632,0,464,3714
1238,1083,2632,0,464,3714
1238,1083,2632,0,464,3714
1238,1083,2631,0,464,3714
1238,1083,2631,0,464,3714
1238,1083,2631,0,464,3714
1238,1083,2631,0,464,3714
1238,1083,2631,0,464,3714
1238,1083,2631,0,464,3714
1238,1083,2631,0,464,3714
1238,1083,2631,0,464,3714
1238,1238,2631,0,464,3714
1392,1238,2631,0,464,3714
1392,1238,2631,0,464,3714
1392,1393,2631,0,464,3714
1392,1393,2786,0,464,3714
1392,1393,2786,0,464,3714
1392,1393,2786,0,464,3714
1392,1393,2786,0,464,3714
1392,1548,2786,0,464,3714
1392,1548,2786,0,464,3714
1392,1548,2786,0,464,3714
1392,1548,2786,0,464,3714
1392,1393,2786,0,464,3714
1392,1393,2786,0,464,3714
1392,1393,2786,0,464,3714
1392,1393,2786,0,464,3714
1392,1393,2786,0,464,3714
1392,1393,2786,0,464,3714
1392,1393,2631,0,464,3714
1392,1393,2631,0,464,3714
1392,1393,2631,0,464,3714
1392,1238,2631,0,464,3714
1392,1238,2631,0,464,3714
1392,1238,2631,0,464,3714
1392,1238,2631,0,464,3714
1392,1238,2631,0,464,3714
1392,1238,2631,0,464,3714
1392,1238,2631,0,464,3714
1392,1238,2631,0,464,3714
1393,1238,2631,0,464,3714
1393,1238,2631,0,464,3714
1393,1238,2631,0,464,3714
1393,1238,2631,0,464,3714
1238,1238,2631,0,464,3714
1238,1083,2631,0,464,3714
1238,1083,2631,0,464,3720
1238,1083,2631,0,464,3714
1238,1083,2632,0,464,3720
1238,1083,2632,0,464,3714
1238,1083,2632,0,464,3714
1238,1083,2632,0,464,3714
1238,1083,2632,0,465,3714
1238,1083,2632,0,465,3714
1238,1084,2632,0,465,3714
1238,1084,2632,0,465,3714
1238,1084,2632,0,465,3714
1238,1084,2632,0,465,3714
1238,1084,2632,0,465,3714
1238,1084,2632,0,465,3714
1238,1084,2632,0,465,3714
1238,929,2632,0,465,3714
1238,929,2632,0,465,3720
1238,929,2632,0,465,3720
1238,929,2632,0,465,3720
1238,929,2632,0,465,3714
1238,929,2632,0,465,3714
1238,929,2632,0,465,3714
1238,929,2632,0,465,3714
1238,929,2632,0,465,3714
1238,929,2632,0,465,3714
1238,929,2632,0,465,3720
1238,929,2632,0,465,3720
1238,929,2632,0,465,3714
1238,929,2632,0,465,3720
1238,929,2632,0,465,3720
1238,929,2632,0,465,3720
1238,929,2632,0,465,3720
