GPUPower,CPUPower,SOCPower,CVPower,VDDRQPower,SYS5VPower
1084,619,2635,0,465,3753
1084,619,2635,0,465,3753
1084,619,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2635,0,465,3753
1239,774,2635,0,465,3753
1239,774,2635,0,465,3753
1239,774,2635,0,465,3753
1084,774,2635,0,465,3753
1084,774,2635,0,465,3753
1084,774,2635,0,465,3753
1084,774,2635,0,465,3753
1084,774,2635,0,465,3753
1084,774,2635,0,465,3753
1084,774,2635,0,465,3753
1084,774,2635,0,465,3753
1239,774,2635,0,465,3753
1239,774,2635,0,465,3753
1239,774,2635,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,929,2634,0,465,3753
1239,929,2634,0,465,3753
1239,929,2634,0,465,3753
1239,929,2634,0,465,3753
1239,929,2634,0,465,3753
1239,929,2634,0,465,3753
